phi_sc  value
340.00000 202.98180
341.00000 199.60371
342.00000 196.14771
343.00000 192.62129
344.00000 189.03227
345.00000 185.38901
346.00000 181.69851
347.00000 177.96970
348.00000 174.21001
349.00000 170.42810
350.00000 166.63076
351.00000 162.82579
352.00000 159.02152
353.00000 155.22420
354.00000 151.44117
355.00000 147.67874
356.00000 143.94321
357.00000 140.24055
358.00000 136.57616
359.00000 132.95620
360.00000 130.35332
361.00000 130.34612
362.00000 130.33872
363.00000 130.33119
364.00000 130.32331
365.00000 130.31533
366.00000 130.30642
367.00000 130.29758
368.00000 130.28859
369.00000 130.27906
370.00000 130.26945
371.00000 130.25908
372.00000 130.24822
373.00000 130.23769
374.00000 130.22635
375.00000 130.21492
376.00000 130.20267
377.00000 130.19013
378.00000 130.17738
379.00000 130.16405
380.00000 130.15007
381.00000 130.13562
382.00000 130.12031
383.00000 130.10462
384.00000 0.00000
385.00000 0.00000
386.00000 0.00000
387.00000 0.00000
388.00000 0.00000
389.00000 0.00000
390.00000 0.00000
