phi_sc  value
330.00000 70.93123
331.00000 71.28227
332.00000 71.60611
333.00000 71.90230
334.00000 72.17034
335.00000 72.40987
336.00000 72.62061
337.00000 72.80226
338.00000 72.95467
339.00000 73.07775
340.00000 73.17148
341.00000 73.23588
342.00000 73.27100
343.00000 73.27710
344.00000 73.25434
345.00000 73.20323
346.00000 73.12391
347.00000 73.01687
348.00000 72.88269
349.00000 72.72183
350.00000 72.53494
351.00000 72.32254
352.00000 72.08537
353.00000 71.82405
354.00000 71.53942
355.00000 71.23219
356.00000 70.90303
357.00000 70.55279
358.00000 70.18228
359.00000 69.79226
360.00000 69.38350
361.00000 68.95694
362.00000 68.51315
363.00000 68.05297
364.00000 67.57718
365.00000 67.08653
366.00000 66.58182
367.00000 66.06364
368.00000 65.53225
369.00000 64.98927
370.00000 64.43496
371.00000 63.86982
372.00000 63.29455
373.00000 62.70963
374.00000 62.11572
375.00000 61.51325
376.00000 60.90277
377.00000 60.28476
378.00000 59.65978
379.00000 59.02799
380.00000 58.38996
